racer_id,year,period,race_count,first_count,second_count,finalist_count,championship_count,win_rate,place_rate,avg_start_time,course_1_entry_count,course_1_place_rate,course_1_avg_start_time,course_1_avg_start_order,course_1_1st_count,course_1_2nd_count,course_1_3rd_count,course_1_4th_count,course_1_5th_count,course_1_6th_count,course_1_F_count,course_1_L0_count,course_1_L1_count,course_1_K0_count,course_1_K1_count,course_1_S0_count,course_1_S1_count,course_1_S2_count,course_2_entry_count,course_2_place_rate,course_2_avg_start_time,course_2_avg_start_order,course_2_1st_count,course_2_2nd_count,course_2_3rd_count,course_2_4th_count,course_2_5th_count,course_2_6th_count,course_2_F_count,course_2_L0_count,course_2_L1_count,course_2_K0_count,course_2_K1_count,course_2_S0_count,course_2_S1_count,course_2_S2_count,course_3_entry_count,course_3_place_rate,course_3_avg_start_time,course_3_avg_start_order,course_3_1st_count,course_3_2nd_count,course_3_3rd_count,course_3_4th_count,course_3_5th_count,course_3_6th_count,course_3_F_count,course_3_L0_count,course_3_L1_count,course_3_K0_count,course_3_K1_count,course_3_S0_count,course_3_S1_count,course_3_S2_count,course_4_entry_count,course_4_place_rate,course_4_avg_start_time,course_4_avg_start_order,course_4_1st_count,course_4_2nd_count,course_4_3rd_count,course_4_4th_count,course_4_5th_count,course_4_6th_count,course_4_F_count,course_4_L0_count,course_4_L1_count,course_4_K0_count,course_4_K1_count,course_4_S0_count,course_4_S1_count,course_4_S2_count,course_5_entry_count,course_5_place_rate,course_5_avg_start_time,course_5_avg_start_order,course_5_1st_count,course_5_2nd_count,course_5_3rd_count,course_5_4th_count,course_5_5th_count,course_5_6th_count,course_5_F_count,course_5_L0_count,course_5_L1_count,course_5_K0_count,course_5_K1_count,course_5_S0_count,course_5_S1_count,course_5_S2_count,course_6_entry_count,course_6_place_rate,course_6_avg_start_time,course_6_avg_start_order,course_6_1st_count,course_6_2nd_count,course_6_3rd_count,course_6_4th_count,course_6_5th_count,course_6_6th_count,course_6_F_count,course_6_L0_count,course_6_L1_count,course_6_K0_count,course_6_K1_count,course_6_S0_count,course_6_S1_count,course_6_S2_count,no_course_L0_count,no_course_L1_count,no_course_K0_count,no_course_K1_count
2014,2025,1,82,3,12,0,0,3.8,18.2,0.19,15,46.6,0.15,2.4,1,6,1,4,2,0,1,0,0,0,0,0,0,0,14,7.1,0.21,4.2,0,1,3,4,0,5,1,0,0,0,0,0,0,0,10,20.0,0.21,4.2,0,2,0,2,4,2,0,0,0,0,0,0,0,0,15,20.0,0.19,3.3,2,1,2,3,5,2,0,0,0,0,0,0,0,0,17,11.7,0.19,3.5,0,2,2,3,6,4,0,0,0,0,0,0,0,0,11,0.0,0.24,5.0,0,0,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0
2538,2025,1,89,4,13,0,0,3.96,19.1,0.19,13,38.4,0.21,4.2,2,3,1,3,4,0,0,0,0,0,0,0,0,0,19,21.0,0.21,3.9,1,3,2,4,6,3,0,0,0,0,0,0,0,0,15,13.3,0.2,3.4,0,2,4,3,3,3,0,0,0,0,0,0,0,0,16,12.5,0.17,3.6,0,2,2,3,5,3,1,0,0,0,0,0,0,0,17,17.6,0.19,3.6,1,2,2,5,4,2,0,0,0,0,0,0,1,0,8,12.5,0.18,4.0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1
2878,2025,1,136,17,32,1,0,5.6,36.0,0.17,28,67.8,0.18,3.7,9,10,5,2,0,2,0,0,0,0,0,0,0,0,25,44.0,0.16,3.6,3,8,5,7,2,0,0,0,0,0,0,0,0,0,25,28.0,0.17,3.8,1,6,7,4,6,1,0,0,0,0,0,0,0,0,24,33.3,0.17,3.6,2,6,6,5,5,0,0,0,0,0,0,0,0,0,19,15.7,0.18,4.1,2,1,2,7,5,1,0,0,0,0,0,0,1,0,15,6.6,0.19,4.5,0,1,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0
3024,2025,1,162,50,44,7,1,6.85,58.0,0.16,61,65.5,0.16,3.0,29,11,7,9,3,2,0,0,0,0,0,1,0,0,91,52.7,0.16,2.9,18,30,10,9,16,7,0,0,0,0,0,0,0,1,6,66.6,0.13,2.7,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,50.0,0.18,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.19,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.11,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3054,2025,1,50,10,4,0,0,4.76,28.0,0.18,12,83.3,0.17,3.3,7,3,0,1,0,1,0,0,0,0,0,0,0,0,5,40.0,0.21,4.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,7,14.2,0.19,4.1,0,1,3,0,2,1,0,0,0,0,0,0,0,0,8,12.5,0.15,3.9,1,0,1,2,3,1,0,0,0,0,0,0,0,0,8,0.0,0.18,4.6,0,0,1,2,2,2,0,0,0,0,0,0,1,0,9,0.0,0.19,4.6,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1
3070,2025,1,54,9,7,1,0,4.89,29.6,0.17,10,70.0,0.14,3.1,5,2,0,1,0,1,1,0,0,0,0,0,0,0,21,33.3,0.18,3.7,3,4,2,2,6,4,0,0,0,0,0,0,0,0,11,9.0,0.19,4.5,1,0,2,2,2,4,0,0,0,0,0,0,0,0,10,10.0,0.15,3.6,0,1,6,1,0,2,0,0,0,0,0,0,0,0,2,0.0,0.13,4.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072,2025,1,99,13,11,0,0,4.52,24.2,0.15,20,50.0,0.17,2.6,6,4,1,5,2,2,0,0,0,0,0,0,0,0,71,19.7,0.14,3.0,7,7,15,10,15,16,1,0,0,0,0,0,0,0,7,0.0,0.19,3.3,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.19,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3075,2025,1,98,9,15,0,0,4.42,24.4,0.15,15,66.6,0.14,2.4,4,6,2,2,1,0,0,0,0,0,0,0,0,0,18,38.8,0.17,3.7,2,5,2,5,1,3,0,0,0,0,0,0,0,0,17,17.6,0.16,3.8,1,2,1,3,6,3,1,0,0,0,0,0,0,0,19,21.0,0.13,3.1,2,2,3,5,5,2,0,0,0,0,0,0,0,0,15,0.0,0.16,3.7,0,0,3,8,0,4,0,0,0,0,0,0,0,0,14,0.0,0.17,3.9,0,0,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0
3081,2025,1,79,5,13,0,0,4.29,22.7,0.17,13,61.5,0.16,3.0,5,3,1,1,0,2,0,0,0,0,0,0,1,0,12,25.0,0.15,3.2,0,3,2,0,6,1,0,0,0,0,0,0,0,0,13,23.0,0.15,3.0,0,3,4,2,2,2,0,0,0,0,0,0,0,0,16,18.7,0.18,3.5,0,3,5,3,4,1,0,0,0,0,0,0,0,0,16,6.2,0.17,3.4,0,1,2,2,6,4,0,0,0,0,0,0,0,1,8,0.0,0.21,5.1,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1
3105,2025,1,105,9,21,1,0,4.84,28.5,0.17,18,66.6,0.17,3.2,6,6,2,1,1,2,0,0,0,0,0,0,0,0,18,22.2,0.18,3.8,0,4,4,4,2,4,0,0,0,0,0,0,0,0,16,50.0,0.17,3.8,2,6,2,2,2,2,0,0,0,0,0,0,0,0,16,6.2,0.15,3.4,1,0,4,4,3,4,0,0,0,0,0,0,0,0,15,6.6,0.18,3.6,0,1,5,4,2,2,1,0,0,0,0,0,0,0,22,18.1,0.18,4.3,0,4,2,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0
